run_name,processor,model,parameters,status,generation_count,latency,total_tokens,prompt_tokens,completion_tokens,parameters,timestamp,test_date,category,trace_id,batch_id
240a_pysg,psg,codestral,P,failure,5,54.68,12763,10052,2711,P,1755044396,08.15,codestral_psg_P,240ab1ad,codestral_e6d3_psg
370d_pysg,psg,codestral,P,failure,5,71.08,13689,10052,3637,P,1755044458,08.15,codestral_psg_P,370d2bfe,codestral_e6d3_psg
ebb7_pysg,psg,codestral,P,failure,5,67.99,13515,10052,3463,P,1755044537,08.15,codestral_psg_P,ebb754c4,codestral_e6d3_psg
3d83_pysg,psg,codestral,P,failure,5,72.98,13795,10052,3743,P,1755044612,08.15,codestral_psg_P,3d8397ea,codestral_e6d3_psg
11ae_pysg,psg,codestral,P,success,4,56.52,10893,8004,2889,P,1755044693,08.15,codestral_psg_P,11ae19b2,codestral_e6d3_psg
65da_pysg,psg,codestral,P,failure,5,74.68,13887,10052,3835,P,1755044757,08.15,codestral_psg_P,65da013d,codestral_e6d3_psg
4979_pysg,psg,codestral,P,failure,5,68.84,13563,10052,3511,P,1755044839,08.15,codestral_psg_P,4979da7f,codestral_e6d3_psg
6932_pysg,psg,codestral,P,failure,5,60.16,13072,10052,3020,P,1755044916,08.15,codestral_psg_P,69324ec6,codestral_e6d3_psg
df5f_pysg,psg,codestral,P,failure,5,75.02,13909,10052,3857,P,1755044983,08.15,codestral_psg_P,df5fce15,codestral_e6d3_psg
4642_pysg,psg,codestral,P,failure,5,62.31,13194,10052,3142,P,1755045066,08.15,codestral_psg_P,464235cb,codestral_e6d3_psg
7e57_pysg,psg,codestral,P,failure,5,49.69,12482,10052,2430,P,1755045136,08.15,codestral_psg_P,7e57cab8,codestral_e6d3_psg
1166_pysg,psg,codestral,P,failure,5,77.57,14055,10052,4003,P,1755045193,08.15,codestral_psg_P,11669ba2,codestral_e6d3_psg
164d_pysg,psg,codestral,P,success,4,60.52,11120,8004,3116,P,1755045278,08.15,codestral_psg_P,164ddce7,codestral_e6d3_psg
718a_pysg,psg,codestral,P,failure,5,67.56,13490,10052,3438,P,1755045354,08.15,codestral_psg_P,718a72dc,codestral_e6d3_psg
1d57_pysg,psg,codestral,P,failure,5,83.2,14372,10052,4320,P,1755045428,08.15,codestral_psg_P,1d57c28c,codestral_e6d3_psg
54db_pysg,psg,codestral,P,failure,5,61.89,13169,10052,3117,P,1755045519,08.15,codestral_psg_P,54db8ae6,codestral_e6d3_psg
f892_pysg,psg,codestral,P,success,3,45.73,8312,5956,2356,P,1755045588,08.15,codestral_psg_P,f892d9f6,codestral_e6d3_psg
fe64_pysg,psg,codestral,P,failure,5,66.84,13444,10052,3392,P,1755045641,08.15,codestral_psg_P,fe64f183,codestral_e6d3_psg
5340_pysg,psg,codestral,P,failure,5,68.96,13568,10052,3516,P,1755045716,08.15,codestral_psg_P,53401aca,codestral_e6d3_psg
ca1f_pysg,psg,codestral,P,failure,5,76.69,14003,10052,3951,P,1755045793,08.15,codestral_psg_P,ca1fe74e,codestral_e6d3_psg
c006_pysg,psg,codestral,P,success,4,58.2,10987,8004,2983,P,1755045878,08.15,codestral_psg_P,c006051c,codestral_e6d3_psg
3e7d_pysg,psg,codestral,P,failure,5,66.82,13446,10052,3394,P,1755045945,08.15,codestral_psg_P,3e7dfb5b,codestral_e6d3_psg
f470_tpusg,tpusg,codestral,P,failure,5,88.27,13726,10240,3486,P,1755040474,08.15,codestral_tpusg_P,f4700758,codestral_e6d3_tpusg
eaa9_tpusg,tpusg,codestral,P,failure,5,45.2,12407,10240,2167,P,1755040598,08.15,codestral_tpusg_P,eaa9e0cf,codestral_e6d3_tpusg
f0d2_tpusg,tpusg,codestral,P,failure,5,78.5,14286,10240,4046,P,1755040657,08.15,codestral_tpusg_P,f0d2e6e2,codestral_e6d3_tpusg
2fb2_tpusg,tpusg,codestral,P,failure,5,45.16,12408,10240,2168,P,1755040772,08.15,codestral_tpusg_P,2fb220ad,codestral_e6d3_tpusg
