Candidate_ID,Model,Precision,Recall,F1,F3,Language,Timestamp
valid_20250820033726_psg_qwen2.5-coder:14b,qwen2.5-coder:14b,0.858630895614624,0.7581603527069092,0.8052738904953003,0.767136812210083,python,2025-11-27T15:00:08.680939
valid_20250819234339_psg_codestral:latest,codestral:latest,0.8777095079421997,0.7579717636108398,0.8134580254554749,0.7684550881385803,python,2025-11-27T15:00:12.481369
valid_20250813032550_psg_codestral:latest,codestral:latest,0.8435772657394409,0.7240103483200073,0.7792338728904724,0.7344198822975159,python,2025-11-27T15:00:16.402005
valid_20250520022434_psg_qwen2.5-coder:32b,qwen2.5-coder:32b,0.8438629508018494,0.7642053365707397,0.8020612001419067,0.7714878916740417,python,2025-11-27T15:00:19.985076
valid_20250819232710_psg_codestral:latest,codestral:latest,0.8630025386810303,0.7460781335830688,0.8002921342849731,0.7563252449035645,python,2025-11-27T15:00:24.032216
valid_20250520023056_psg_qwen2.5-coder:32b,qwen2.5-coder:32b,0.8448671698570251,0.7643805146217346,0.8026110529899597,0.7717324495315552,python,2025-11-27T15:00:27.965900
valid_20250819230518_psg_qwen2.5-coder:14b,qwen2.5-coder:14b,0.8544715642929077,0.7553680539131165,0.8018693327903748,0.76423180103302,python,2025-11-27T15:00:31.661252
valid_20250520023844_psg_qwen2.5-coder:32b,qwen2.5-coder:32b,0.8438629508018494,0.7642053365707397,0.8020612001419067,0.7714878916740417,python,2025-11-27T15:00:35.339205
valid_20250804040848_psg_qwen2.5-coder:32b,qwen2.5-coder:32b,0.8639664649963379,0.756091833114624,0.8064376711845398,0.7656517624855042,python,2025-11-27T15:00:39.016157
valid_20250730180635_psg_phi4:latest,phi4:latest,0.8637852668762207,0.7583310604095459,0.8076303601264954,0.7677035331726074,python,2025-11-27T15:00:42.505635
valid_20250804232505_psg_qwen2.5-coder:32b,qwen2.5-coder:32b,0.8330046534538269,0.7522825598716736,0.7905884385108948,0.7596439123153687,python,2025-11-27T15:00:46.094802
