Fruit,Red,Green,Blue
apple,0.579720107036779,-1.4166076577282278,1.0442302179958256
apple,0.9324940475811279,-1.6414381353341954,0.6763063975773203
apple,0.579720107036779,-1.4166076577282278,1.0442302179958256
apple,0.9324940475811279,-1.6414381353341954,0.6763063975773203
apple,0.7865186239076042,-1.079361941319276,0.04557984828845281
apple,0.9324940475811279,-1.6414381353341954,0.6763063975773203
apple,0.6770370561524615,-1.464785617215221,0.9653893993347171
apple,0.9324940475811279,-1.6414381353341954,0.6763063975773203
apple,0.47023853928163767,-0.8384721438843105,0.3346628500458504
apple,0.7865186239076042,-1.079361941319276,0.04557984828845281
apple,0.9324940475811279,-1.6414381353341954,0.6763063975773203
apple,0.47023853928163767,-0.8384721438843105,0.3346628500458504
apple,0.47023853928163767,-0.8384721438843105,0.3346628500458504
apple,0.579720107036779,-1.031183981832283,0.4135036687069588
apple,0.7865186239076042,-1.079361941319276,0.04557984828845281
apple,0.579720107036779,-1.031183981832283,0.4135036687069588
apple,0.47023853928163767,-0.8384721438843105,0.3346628500458504
apple,1.3704203186016988,-1.9305058922561542,0.20326148561066967
apple,1.0663048526151913,-1.288133099096246,-0.19094260769487176
apple,0.579720107036779,-1.4166076577282278,1.0442302179958256
apple,0.7256955307103027,-0.8384721438843105,-0.19094260769487176
apple,-0.2839678163649012,-0.8384721438843105,1.990320041929126
apple,0.47023853928163767,-0.8384721438843105,0.3346628500458504
apple,-0.2839678163649012,-0.533345067133354,1.49099485707544
banana,-0.63674175690925,0.8156377985024523,0.04557984828845281
banana,-0.47860171459626605,0.5908073208964852,0.07186012117548896
banana,-0.6245771382697897,0.6068666407254829,0.3872233958199227
banana,-0.7340587060249317,0.7995784786734547,0.2821023042717781
banana,-0.8921987483379157,0.7674598390154592,0.6763063975773203
banana,-1.098997265208741,1.0404682761084203,0.6763063975773203
banana,-1.098997265208741,1.0404682761084203,0.6763063975773203
banana,-0.8678695110589951,0.8477564381604478,0.5186247602551034
banana,-0.6245771382697897,0.9441123571344341,-0.19094260769487176
banana,-0.6854002314670905,0.8638157579894454,0.0981403940625251
banana,-0.39344938412004393,0.6068666407254829,-0.11210178903376333
banana,-0.41777862139896454,0.6068666407254829,-0.11210178903376333
banana,-0.2839678163649012,0.4944514019224989,-0.19094260769487176
banana,-0.4299432400384248,0.7514005191864614,-0.29606369924301634
banana,-0.10149853677299661,0.4944514019224989,-0.5851467010004139
banana,-0.10149853677299661,0.4944514019224989,-0.5851467010004139
banana,-0.2839678163649012,0.4944514019224989,-0.19094260769487176
banana,-0.2839678163649012,0.4944514019224989,-0.19094260769487176
banana,-0.2839678163649012,0.7674598390154592,-0.6377072467744862
banana,-0.6002479009908691,1.056527595937418,-0.4274650636781971
banana,-0.8921987483379157,0.7674598390154592,0.6763063975773203
banana,-1.6342404853449937,1.39377331234637,1.2544724010921147
banana,-1.0503387906508996,1.168942834740402,0.3346628500458504
banana,-1.0503387906508996,1.168942834740402,0.3346628500458504
banana,-1.2449726888822645,1.056527595937418,0.9653893993347171
banana,-1.390948112555788,0.9922903166214272,1.3858737655272955
banana,-1.6099112480660729,1.4258919520043656,1.123071036656934
banana,-1.6585697226239142,1.3616546726883747,1.3595934926402593
banana,-1.6585697226239142,1.3616546726883747,1.3595934926402593
banana,-1.3301250193584866,1.233180114056393,0.8602683077865726
banana,-1.3301250193584866,1.233180114056393,0.8602683077865726
banana,-1.5855820107871523,1.458010591662361,1.0442302179958256
banana,-1.4274419684741684,1.168942834740402,1.1756315824310064
banana,-1.3301250193584866,1.233180114056393,0.8602683077865726
banana,-1.269301926161185,1.3616546726883747,0.5186247602551034
banana,-1.220643451603344,1.3295360330303791,0.46606421448103114
banana,-1.2936311634401056,1.168942834740402,0.8865485806736088
banana,-1.6099112480660729,1.4258919520043656,1.123071036656934
banana,-1.6099112480660729,1.4258919520043656,1.123071036656934
banana,-1.6099112480660729,1.4258919520043656,1.123071036656934
banana,-1.5004296803109303,1.570425830465345,0.6763063975773203
banana,-1.5004296803109303,1.570425830465345,0.6763063975773203
banana,-1.2449726888822645,1.056527595937418,0.9653893993347171
banana,-1.147655739766582,1.2652987537143883,0.4135036687069588
banana,-1.0138449347325187,0.9280530373054363,0.6763063975773203
banana,-1.147655739766582,1.2652987537143883,0.4135036687069588
banana,-1.147655739766582,1.2652987537143883,0.4135036687069588
banana,-0.8921987483379157,0.7674598390154592,0.6763063975773203
banana,-0.9651864601746776,1.39377331234637,-0.19094260769487176
banana,-0.8921987483379157,0.7674598390154592,0.6763063975773203
banana,-1.0503387906508996,1.168942834740402,0.3346628500458504
banana,-0.63674175690925,0.8156377985024523,0.04557984828845281
banana,-1.0503387906508996,1.168942834740402,0.3346628500458504
banana,-0.9651864601746776,1.39377331234637,-0.19094260769487176
banana,-0.63674175690925,0.8156377985024523,0.04557984828845281
banana,-0.8921987483379157,0.7674598390154592,0.6763063975773203
banana,-1.147655739766582,0.8798750778184432,1.0442302179958256
banana,-1.220643451603344,1.3295360330303791,0.46606421448103114
banana,-1.269301926161185,1.3616546726883747,0.5186247602551034
banana,-1.4274419684741684,1.168942834740402,1.1756315824310064
banana,-1.4274419684741684,1.168942834740402,1.1756315824310064
banana,-1.6342404853449937,1.39377331234637,1.2544724010921147
banana,-1.269301926161185,1.3616546726883747,0.5186247602551034
